Area Team Code,Area Team Name,Organisation Code,Organisation Name," Total number of attendances in A&E HES 

(excluding planned follow-up attendances and attendances where the attendance category was unknown) ", Number of attendances from A&E Situation Reports (SitReps) - unscaled , Number of attendances from A&E Situation Reports (SitReps) - scaled [see footnote 1] ,A&E HES attendances as % of scaled SitRep attendances [see footnote 2],"Assessment of coverage of A&E HES data, compared to Sitrep data","Total number of attendances in A&E HES 

(excluding planned follow-up attendances and attendances where the attendance category was unknown)",Attendances with an unknown attendance disposal category,% of attendances with unknown attendance disposal categories,"% of attendances with an attendance disposal category of ""Other""","Total number of attendances in A&E HES 

(excluding planned follow-up attendances, attendances where the attendance category was unknown, and attendances where the attendance disposal category was unknown)","Number of attendances with an attendance disposal of ""Left Department before being seen for treatment""",Left department before being seen for treatment,"Total number of applicable attendances for this indicator (1st A&E attendance, unplanned follow up attendance and unknown attendance)", Attendances with unknown attendance category ,% of attendances with an unknown attendance category,"Total number of attendances in A&E HES 

(excluding planned follow-up attendances and attendances where the attendance category was unknown)",Number of re-attendances within 7 days of a previous attendance at A&E,Re-attendance rate,% attendances with an arrival time of exactly midnight (00:00),"Total number of attendances in A&E HES that were brought in by ambulance

(excluding planned follow-up attendances and attendances where the attendance category was unknown)",Attendances with an unknown duration to initial assessment,% of attendances with unknown duration to assessment times,Did all attendances have a duration to assessment of 0 minutes?,% of attendances with an initial assessment time of exactly midnight (00:00) [see footnote 8],AssessMedian,95th Percentile [see footnote 4],Longest wait [see footnotes 5],"Total number of attendances in A&E HES 

(excluding planned follow-up attendances,  attendances where the attendance category was unknown, and attendances where the attendance disposal category was: Left Before Treatment, Left Refusing Treatment, or Unknown)",Attendances with unknown duration to treatment,% of attendances with unknown duration to treatment times,Did more than 25% of attendances have a duration to treatment of 0 minutes?,% attendances with a treatment time of exactly midnight (00:00),TreatMedian,95th Percentile [see footnote 4],"Longest wait
 [see footnote 5]",Median,95th Percentile [see footnote 4],"Longest wait
 [see footnote 5]",Median,95th Percentile [see footnote 4],"Longest wait
 [see footnote 5]","Total number of attendances in A&E HES 

(excluding planned follow-up attendances and attendances where the attendance category was unknown)",Attendances with unknown duration to departure,% of attendances with unknown duration to departure times,Did more than 25% of attendances have a duration to departure of 0 minutes?,% attendances with a departure time of exactly midnight (00:00) [see footnote 8],TotalMedian,95th Percentile [see footnote 4],"Longest wait
 [see footnote 5]"
Q58,HERTFORDSHIRE AND THE SOUTH MIDLANDS ,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,"10,119","9,785","10,484",96.5%,A&E HES attendances are within 10% of SitReps,"10,119",11,0.1%,5.8%,"10,108",356,3.5%,"10,119",0,0.0%,"10,119",855,8.4%,0.0%,"2,509",11,0.4%,,0.6%,10,59,"1,352","9,736","1,385",14.2%,,0.1%,80,215,"1,422",224,486,"1,405",151,239,"1,410","10,119",34,0.3%,,0.2%,174,363,"1,410"
Q44,"CHESHIRE, WARRINGTON AND WIRRAL ",RJN,EAST CHESHIRE NHS TRUST,"4,273","4,092","4,384",97.5%,A&E HES attendances are within 10% of SitReps,"4,273",0,0.0%,0.4%,"4,273",68,1.6%,"4,273",0,0.0%,"4,273",325,7.6%,0.0%,"1,075",0,0.0%,,0.0%,5,17,189,"4,183",0,0.0%,,0.0%,51,180,327,226,311,752,102,233,862,"4,273",0,0.0%,,0.0%,126,238,862
Q67,KENT AND MEDWAY ,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,"16,782","15,649","16,767",100.1%,A&E HES attendances are within 10% of SitReps,"16,782",0,0.0%,0.0%,"16,782",406,2.4%,"16,782",0,0.0%,"16,782","1,689",10.1%,0.0%,"5,002","1,109",22.2%,,0.1%,14,59,"1,439","16,254","1,178",7.2%,,0.1%,53,172,568,231,448,"1,239",120,264,"1,432","16,782",0,0.0%,,0.1%,141,329,"1,432"
Q47,LANCASHIRE ,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,"15,067","14,801","15,858",95.0%,A&E HES attendances are within 10% of SitReps,"15,067",0,0.0%,0.3%,"15,067",331,2.2%,"15,067",0,0.0%,"15,067","1,394",9.3%,0.0%,"4,035",0,0.0%,,0.1%,4,59,"1,439","14,652","1,636",11.2%,,0.1%,52,146,385,200,324,699,103,222,708,"15,067",0,0.0%,,0.0%,119,237,708
Q71,LONDON ,RWK,EAST LONDON NHS FOUNDATION TRUST,"2,494",No Data,No Data,No Data,No Data,"2,494",0,0.0%,66.2%,"2,494",73,2.9%,"2,496",2,0.1%,"2,494",68,2.7%,0.0%,73,0,0.0%,,8.2%,17,367,898,"2,420",0,0.0%,,0.0%,60,183,586,151,231,231,134,229,"1,163","2,494",0,0.0%,,0.0%,134,229,"1,163"
Q68,SURREY AND SUSSEX ,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,"9,061","10,806","11,578",78.3%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,"9,061",0,0.0%,0.4%,"9,061",182,2.0%,"9,061",0,0.0%,"9,061",570,6.3%,0.0%,"2,916",3,0.1%,,0.2%,1,14,"1,439","8,670",243,2.8%,,0.1%,50,191,"1,147",230,621,"1,429",134,418,"1,437","9,061",0,0.0%,,0.3%,152,482,"1,437"
Q71,LONDON ,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,"12,036","11,305","12,113",99.4%,A&E HES attendances are within 10% of SitReps,"12,036",0,0.0%,4.6%,"12,036",218,1.8%,"12,036",0,0.0%,"12,036",877,7.3%,0.0%,"2,500",0,0.0%,,0.2%,1,14,221,"11,765",510,4.3%,,0.2%,54,161,461,222,355,"1,040",113,231,898,"12,036",0,0.0%,,0.2%,132,239,"1,040"
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY ",NLL16,FALMOUTH HOSPITAL,729,No Data,No Data,No Data,No Data,729,0,0.0%,0.0%,729,14,1.9%,729,0,0.0%,729,48,6.6%,0.0%,*,*,0.0%,,0.0%,*,*,*,715,0,0.0%,,0.0%,22,94,167,No Data,No Data,No Data,56,136,452,729,0,0.0%,,0.0%,56,136,452
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY ",NLL14,FOWEY HOSPITAL,23,No Data,No Data,No Data,No Data,23,0,0.0%,0.0%,23,0,0.0%,23,0,0.0%,23,*,*,0.0%,No Data,No Data,No Data,,No Data,No Data,No Data,No Data,23,0,0.0%,Yes,0.0%,~,~,~,No Data,No Data,No Data,11,63,68,23,0,0.0%,,0.0%,11,63,68
Q50,NORTH YORKSHIRE AND HUMBER ,NNF28,FREEDOM CENTRE,445,382,409,108.8%,A&E HES attendances are within 10% of SitReps,445,0,0.0%,0.0%,445,*,*,445,0,0.0%,445,18,4.0%,0.0%,No Data,No Data,No Data,,No Data,No Data,No Data,No Data,440,0,0.0%,,0.0%,12,49,117,*,*,*,33,79,139,445,0,0.0%,,0.0%,33,79,139
Q68,SURREY AND SUSSEX ,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,"8,684","8,163","8,746",99.3%,A&E HES attendances are within 10% of SitReps,"8,684",0,0.0%,0.7%,"8,684",137,1.6%,"8,684",0,0.0%,"8,684",340,3.9%,0.1%,"2,326",1,0.0%,,0.1%,4,12,"1,439","8,465",8,0.1%,,0.1%,71,162,256,223,391,"1,244",154,237,"1,191","8,684",0,0.0%,,0.3%,171,240,"1,244"
Q57,ESSEX ,NQ106,FRYATT HOSPITAL,453,402,431,105.1%,A&E HES attendances are within 10% of SitReps,453,0,0.0%,17.9%,453,*,*,453,0,0.0%,453,15,3.3%,0.0%,*,*,0.0%,Yes,0.0%,~,~,~,451,0,0.0%,,0.0%,10,51,675,No Data,No Data,No Data,28,81,929,453,0,0.0%,,0.0%,28,81,929
Q49,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR ",RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,"7,297","6,783","7,268",100.4%,A&E HES attendances are within 10% of SitReps,"7,297",0,0.0%,1.8%,"7,297",181,2.5%,"7,297",0,0.0%,"7,297",628,8.6%,0.0%,"1,919",0,0.0%,,0.1%,2,15,55,"7,105",0,0.0%,,0.1%,56,147,251,208,354,609,114,230,679,"7,297",0,0.0%,,0.2%,129,240,679
Q53,"ARDEN, HEREFORDSHIRE AND WORCESTERSHIRE ",RLT,GEORGE ELIOT HOSPITAL NHS TRUST,"5,501","5,184","5,554",99.0%,A&E HES attendances are within 10% of SitReps,"5,501",0,0.0%,0.1%,"5,501",24,0.4%,"5,501",0,0.0%,"5,501",295,5.4%,0.0%,"1,192",0,0.0%,,0.0%,0,11,155,"5,474",0,0.0%,,0.0%,27,88,946,223,397,837,83,212,"1,110","5,501",0,0.0%,,0.0%,103,238,"1,110"
Q64,"BATH, GLOUCESTERSHIRE, SWINDON AND WILTSHIRE ",R1J,GLOUCESTERSHIRE CARE SERVICES NHS TRUST,"5,929","5,350","5,732",103.4%,A&E HES attendances are within 10% of SitReps,"5,929",0,0.0%,0.6%,"5,929",41,0.7%,"5,929",0,0.0%,"5,929",688,11.6%,0.0%,44,0,0.0%,,0.0%,1,18,19,"5,886",0,0.0%,,0.0%,25,89,"1,439",*,*,*,39,117,357,"5,929",0,0.0%,,0.0%,39,117,357
Q64,"BATH, GLOUCESTERSHIRE, SWINDON AND WILTSHIRE ",RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,"10,105","9,473","10,150",99.6%,A&E HES attendances are within 10% of SitReps,"10,105",0,0.0%,0.0%,"10,105",141,1.4%,"10,105",0,0.0%,"10,105",687,6.8%,0.0%,"3,165",0,0.0%,,0.0%,13,36,175,"9,798",0,0.0%,,0.0%,52,175,439,200,351,592,109,238,827,"10,105",0,0.0%,,0.1%,139,275,827
Q64,"BATH, GLOUCESTERSHIRE, SWINDON AND WILTSHIRE ",RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,"9,634","9,304","9,969",96.6%,A&E HES attendances are within 10% of SitReps,"9,634",0,0.0%,6.1%,"9,634",203,2.1%,"9,634",0,0.0%,"9,634",530,5.5%,0.0%,"1,871",488,26.1%,,0.9%,14,"1,436","1,439","9,400",94,1.0%,,3.6%,46,200,"1,437",224,470,692,77,235,690,"9,634",0,0.0%,,0.2%,98,298,692
Q71,LONDON ,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,"13,608","13,789","14,774",92.1%,A&E HES attendances are within 10% of SitReps,"13,608",0,0.0%,0.8%,"13,608",451,3.3%,"13,608",0,0.0%,"13,608","1,025",7.5%,0.1%,"2,840",33,1.2%,,0.2%,7,41,"1,432","13,126",202,1.5%,,0.1%,68,175,"1,395",225,359,"1,201",114,228,"1,024","13,608",1,0.0%,,0.1%,130,238,"1,201"
Q70,WESSEX ,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,"9,617","9,025","9,670",99.5%,A&E HES attendances are within 10% of SitReps,"9,617",0,0.0%,0.9%,"9,617",180,1.9%,"9,617",0,0.0%,"9,617",592,6.2%,0.1%,"2,215",0,0.0%,,0.4%,2,18,"1,439","9,437",1,0.0%,,0.1%,36,150,"1,438",228,458,890,89,235,719,"9,617",1,0.0%,,0.1%,111,243,890
Q50,NORTH YORKSHIRE AND HUMBER ,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,"3,743","5,236","5,610",66.7%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,"3,743",0,0.0%,0.0%,"3,743",66,1.8%,"3,743",0,0.0%,"3,743",235,6.3%,0.0%,992,0,0.0%,,0.0%,0,21,181,"3,674",2,0.1%,,0.0%,38,147,299,195,323,580,99,230,501,"3,743",0,0.0%,,0.0%,119,238,580
Q68,SURREY AND SUSSEX ,NDA57,HASLEMERE MINOR INJURIES UNIT,495,494,529,93.6%,A&E HES attendances are within 10% of SitReps,495,495,100.0%,0.0%,No Data,No Data,No Data,495,0,0.0%,495,22,4.4%,0.0%,No Data,No Data,No Data,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,495,0,0.0%,,0.0%,49,116,"1,027"
Q54,BIRMINGHAM AND THE BLACK COUNTRY ,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,"20,671","19,370","20,754",99.6%,A&E HES attendances are within 10% of SitReps,"20,671",0,0.0%,0.0%,"20,671",513,2.5%,"20,671",0,0.0%,"20,671","1,367",6.6%,0.0%,"5,143",0,0.0%,,0.1%,5,39,192,"20,044",442,2.2%,,0.1%,41,147,843,204,403,"1,124",110,231,"1,276","20,671",3,0.0%,,0.1%,128,266,"1,276"
Q69,THAMES VALLEY ,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,"8,808","8,481","9,087",96.9%,A&E HES attendances are within 10% of SitReps,"8,808",0,0.0%,1.2%,"8,808",237,2.7%,"8,808",0,0.0%,"8,808",566,6.4%,0.1%,"2,494",0,0.0%,,0.2%,0,18,37,"8,542",0,0.0%,Yes,0.0%,~,~,~,233,694,"1,195",143,288,"1,124","8,808",0,0.0%,,0.1%,175,430,"1,195"
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY ",NLL18,HELSTON COMMUNITY HOSPITAL,337,No Data,No Data,No Data,No Data,337,0,0.0%,0.0%,337,*,*,337,0,0.0%,337,19,5.6%,0.0%,*,*,0.0%,Yes,0.0%,~,~,~,336,0,0.0%,Yes,0.0%,~,~,~,No Data,No Data,No Data,25,70,202,337,0,0.0%,,0.0%,25,70,202
Q58,HERTFORDSHIRE AND THE SOUTH MIDLANDS ,RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,707,640,686,103.1%,A&E HES attendances are within 10% of SitReps,707,0,0.0%,7.6%,707,*,*,707,0,0.0%,707,19,2.7%,0.0%,*,*,0.0%,,0.0%,*,*,*,702,0,0.0%,,0.0%,26,106,232,No Data,No Data,No Data,59,161,238,707,0,0.0%,,0.0%,59,161,238
Q56,EAST ANGLIA ,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,"3,337","3,147","3,372",99.0%,A&E HES attendances are within 10% of SitReps,"3,337",12,0.4%,0.0%,"3,325",82,2.5%,"3,337",0,0.0%,"3,337",169,5.1%,0.1%,876,1,0.1%,,0.0%,0,15,650,"3,227",29,0.9%,,0.2%,147,330,"1,410",209,296,703,136,233,536,"3,337",0,0.0%,,0.1%,157,240,703
Q71,LONDON ,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,"9,180","9,537","10,218",89.8%,A&E HES attendances are within 20% of SitReps,"9,180",1,0.0%,11.3%,"9,179",377,4.1%,"9,180",0,0.0%,"9,180",813,8.9%,0.1%,"1,441",0,0.0%,,0.3%,5,23,597,"8,782",0,0.0%,,13.1%,99,659,"1,436",-,-,-,-,-,-,"9,180",0,0.0%,,100.0%,-,-,-
Q71,LONDON ,RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,"7,240","3,726","3,992",181.4%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,"7,240",0,0.0%,0.8%,"7,240",449,6.2%,"7,240",0,0.0%,"7,240",496,6.9%,0.0%,158,1,0.6%,,0.0%,18,92,143,"6,789",0,0.0%,,0.1%,13,160,"1,089",No Data,No Data,No Data,109,218,"1,210","7,240",0,0.0%,,0.1%,109,218,"1,210"
Q50,NORTH YORKSHIRE AND HUMBER ,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,"11,073","10,591","11,348",97.6%,A&E HES attendances are within 10% of SitReps,"11,073",0,0.0%,0.9%,"11,073",145,1.3%,"11,073",0,0.0%,"11,073",778,7.0%,0.0%,"3,695","1,131",30.6%,,0.0%,2,13,69,"10,476","1,296",12.4%,,0.2%,68,183,298,222,380,685,124,237,525,"11,073",0,0.0%,,0.1%,148,241,685
Q50,NORTH YORKSHIRE AND HUMBER ,RV9,HUMBER NHS FOUNDATION TRUST,966,"1,115","1,195",80.8%,A&E HES attendances are within 20% of SitReps,966,0,0.0%,1.6%,966,*,*,966,0,0.0%,966,61,6.3%,0.0%,*,*,0.0%,Yes,0.0%,~,~,~,965,0,0.0%,,0.0%,20,117,232,No Data,No Data,No Data,40,137,238,966,0,0.0%,,0.0%,40,137,238
Q71,LONDON ,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,"23,840","22,499","24,106",98.9%,A&E HES attendances are within 10% of SitReps,"23,840","1,439",6.0%,1.4%,"22,401",748,3.3%,"23,840",0,0.0%,"23,840","2,832",11.9%,0.0%,"4,214",62,1.5%,,0.1%,4,28,"1,247","21,614","1,162",5.4%,,0.1%,74,199,808,214,423,949,130,239,"1,390","23,840",153,0.6%,,0.1%,137,264,"1,390"
Q56,EAST ANGLIA ,RGQ,IPSWICH HOSPITAL NHS TRUST,"6,721","6,353","6,807",98.7%,A&E HES attendances are within 10% of SitReps,"6,721",1,0.0%,0.0%,"6,720",174,2.6%,"6,721",0,0.0%,"6,721",389,5.8%,0.0%,"1,890",30,1.6%,,0.6%,4,30,226,"6,537",0,0.0%,,0.2%,73,182,379,210,260,599,129,235,497,"6,721",185,2.8%,,0.3%,147,239,599
Q70,WESSEX ,R1F,ISLE OF WIGHT NHS TRUST,"5,261","5,424","5,811",90.5%,A&E HES attendances are within 10% of SitReps,"5,261",12,0.2%,*,"5,249",45,0.9%,"5,261",0,0.0%,"5,261",568,10.8%,0.1%,"1,009",0,0.0%,,0.3%,1,1,4,"5,201",3,0.1%,,0.0%,31,124,956,230,592,961,79,232,"1,438","5,261",1,0.0%,,0.1%,91,291,"1,438"
Q56,EAST ANGLIA ,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"5,973","5,618","6,019",99.2%,A&E HES attendances are within 10% of SitReps,"5,973",0,0.0%,*,"5,973",120,2.0%,"5,973",0,0.0%,"5,973",471,7.9%,0.0%,"1,787",0,0.0%,,0.0%,4,15,"1,158","5,851",0,0.0%,,0.1%,47,163,814,221,443,"1,349",121,237,"1,276","5,973",0,0.0%,,0.1%,141,280,"1,349"
Q67,KENT AND MEDWAY ,RYY,KENT COMMUNITY HEALTH NHS TRUST,"10,187","9,526","10,206",99.8%,A&E HES attendances are within 10% of SitReps,"10,187",5,0.0%,0.2%,"10,182",190,1.9%,"10,187",0,0.0%,"10,187","1,481",14.5%,0.0%,28,1,3.6%,,0.0%,36,95,106,"9,991",12,0.1%,,0.0%,26,105,358,41,79,79,56,150,358,"10,187",0,0.0%,,0.0%,56,151,358
Q58,HERTFORDSHIRE AND THE SOUTH MIDLANDS ,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,"6,179","5,813","6,228",99.2%,A&E HES attendances are within 10% of SitReps,"6,179",0,0.0%,0.0%,"6,179",98,1.6%,"6,179",0,0.0%,"6,179",420,6.8%,0.0%,"2,205",392,17.8%,,0.1%,5,19,608,"6,059",0,0.0%,,0.3%,58,152,657,213,249,832,113,230,"1,092","6,179",0,0.0%,,0.3%,141,240,"1,092"
Q71,LONDON ,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,"18,498","22,643","24,260",76.2%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,"18,498",2,0.0%,1.2%,"18,496",564,3.0%,"18,498",0,0.0%,"18,498","1,661",9.0%,0.1%,"5,169",46,0.9%,,0.3%,0,10,"1,435","17,840","1,366",7.7%,,0.2%,64,188,670,240,829,"1,423",150,325,"1,435","18,498",45,0.2%,,0.1%,177,510,"1,435"
Q71,LONDON ,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,"9,176","8,557","9,168",100.1%,A&E HES attendances are within 10% of SitReps,"9,176",0,0.0%,*,"9,176",366,4.0%,"9,176",0,0.0%,"9,176",871,9.5%,0.0%,"2,115",0,0.0%,,13.0%,59,561,"1,436","8,802",0,0.0%,,1.3%,34,152,"1,436",235,770,"1,439",184,238,"1,439","9,176",0,0.0%,,0.0%,198,366,"1,439"
Q47,LANCASHIRE ,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,"10,373","9,745","10,441",99.3%,A&E HES attendances are within 10% of SitReps,"10,373",0,0.0%,*,"10,373",251,2.4%,"10,373",0,0.0%,"10,373",712,6.9%,0.0%,"2,573",4,0.2%,,0.1%,4,23,"1,438","10,083",136,1.3%,,0.0%,48,155,"1,320",218,405,928,106,228,787,"10,373",1,0.0%,,0.0%,123,237,928
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY ",NLL04,LAUNCESTON GENERAL HOSPITAL,576,No Data,No Data,No Data,No Data,576,0,0.0%,0.0%,576,*,*,576,0,0.0%,576,35,6.1%,0.0%,No Data,No Data,No Data,,No Data,No Data,No Data,No Data,570,0,0.0%,,0.0%,5,49,145,No Data,No Data,No Data,32,88,189,576,0,0.0%,,0.0%,32,88,189
Q52,WEST YORKSHIRE ,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,"16,876","17,549","18,803",89.8%,A&E HES attendances are within 20% of SitReps,"16,876",20,0.1%,0.0%,"16,856",649,3.9%,"16,876",0,0.0%,"16,876","1,415",8.4%,0.1%,"5,875",0,0.0%,,0.1%,4,15,"1,433","16,085",0,0.0%,,0.1%,88,207,"1,364",218,367,906,144,236,"1,353","16,876",0,0.0%,,0.2%,169,272,"1,353"
Q71,LONDON ,RJ2,LEWISHAM AND GREENWICH NHS TRUST,"17,524","20,381","21,837",80.2%,A&E HES attendances are within 20% of SitReps,"17,524",0,0.0%,0.1%,"17,524",580,3.3%,"17,525",1,0.0%,"17,524","1,712",9.8%,0.1%,"5,059",73,1.4%,,0.0%,12,60,294,"16,161",7,0.0%,,0.1%,87,203,"1,306",242,"1,086","1,439",170,382,"1,422","17,524",1,0.0%,,0.2%,185,593,"1,439"
Q59,LEICESTERSHIRE AND LINCOLNSHIRE ,RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,"12,921","12,736","13,646",94.7%,A&E HES attendances are within 10% of SitReps,"12,921",0,0.0%,0.9%,"12,921",233,1.8%,"12,921",0,0.0%,"12,921",640,5.0%,0.0%,143,0,0.0%,,0.0%,2,30,76,"12,678",3,0.0%,,0.0%,14,80,230,149,267,395,51,161,518,"12,921",0,0.0%,,0.0%,52,164,518
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY ",NLL07,LISKEARD COMMUNITY HOSPITAL,809,No Data,No Data,No Data,No Data,809,0,0.0%,0.0%,809,*,*,809,0,0.0%,809,36,4.4%,0.0%,*,*,0.0%,,0.0%,*,*,*,806,0,0.0%,,0.0%,10,56,181,No Data,No Data,No Data,42,116,361,809,0,0.0%,,0.0%,42,116,361
Q48,MERSEYSIDE ,RY1,LIVERPOOL COMMUNITY HEALTH NHS TRUST,"3,815","14,400","15,429",24.7%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,"3,815",0,0.0%,100.0%,"3,815",0,0.0%,"3,815",0,0.0%,"3,815",341,8.9%,0.0%,No Data,No Data,No Data,,No Data,No Data,No Data,No Data,"3,815",0,0.0%,,0.0%,34,127,"1,287",No Data,No Data,No Data,63,162,"1,288","3,815",0,0.0%,,0.0%,63,162,"1,288"
Q48,MERSEYSIDE ,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,984,893,957,102.8%,A&E HES attendances are within 10% of SitReps,984,0,0.0%,0.0%,984,24,2.4%,984,0,0.0%,984,84,8.5%,0.0%,46,0,0.0%,,0.0%,3,12,15,959,0,0.0%,,0.2%,71,178,235,93,215,230,103,205,239,984,0,0.0%,,0.0%,102,206,239
Q58,HERTFORDSHIRE AND THE SOUTH MIDLANDS ,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,"7,414","9,767","10,465",70.8%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,"7,414",1,0.0%,0.0%,"7,413",135,1.8%,"7,414",0,0.0%,"7,414",479,6.5%,0.1%,"2,431",45,1.9%,,0.0%,9,35,82,"7,275",230,3.2%,,0.1%,64,182,"1,382",210,240,846,117,233,605,"7,414",0,0.0%,,0.1%,135,239,846
Q67,KENT AND MEDWAY ,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,"10,566","9,952","10,663",99.1%,A&E HES attendances are within 10% of SitReps,"10,566",24,0.2%,0.2%,"10,542",325,3.1%,"10,566",0,0.0%,"10,566",800,7.6%,0.0%,"2,810",0,0.0%,,0.3%,1,14,447,"10,190",0,0.0%,,0.1%,72,186,"1,263",232,712,"1,432",153,352,"1,433","10,566",0,0.0%,,0.1%,168,424,"1,433"
Q67,KENT AND MEDWAY ,RPA,MEDWAY NHS FOUNDATION TRUST,"8,024","7,489","8,024",100.0%,A&E HES attendances are within 10% of SitReps,"8,024",362,4.5%,*,"7,662",364,4.8%,"8,024",0,0.0%,"8,024",698,8.7%,0.0%,"2,682",1,0.0%,,0.0%,0,1,488,"7,295","7,295",100.0%,,0.0%,,,,232,686,"1,408",122,239,"1,014","8,024",0,0.0%,,0.2%,146,376,"1,408"
Q44,"CHESHIRE, WARRINGTON AND WIRRAL ",RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,"6,399","6,365","6,820",93.8%,A&E HES attendances are within 10% of SitReps,"6,399",0,0.0%,*,"6,399",155,2.4%,"6,399",0,0.0%,"6,399",415,6.5%,0.0%,"2,018",0,0.0%,,0.0%,3,14,89,"6,244",2,0.0%,,0.0%,45,157,302,173,332,700,87,218,662,"6,399",0,0.0%,,0.0%,111,239,700
Q57,ESSEX ,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,"7,131","6,689","7,167",99.5%,A&E HES attendances are within 10% of SitReps,"7,131",2,0.0%,0.1%,"7,129",210,2.9%,"7,131",0,0.0%,"7,131",435,6.1%,0.1%,"2,071",225,10.9%,,0.0%,11,69,228,"6,891",986,14.3%,,0.1%,93,192,749,227,563,"1,238",154,269,927,"7,131",0,0.0%,,0.1%,172,393,"1,238"
Q60,SHROPSHIRE AND STAFFORDSHIRE ,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,"4,003","3,763","4,032",99.3%,A&E HES attendances are within 10% of SitReps,"4,003",0,0.0%,1.8%,"4,003",59,1.5%,"4,003",0,0.0%,"4,003",217,5.4%,0.0%,"1,248",254,20.4%,,0.0%,0,21,102,"3,935",2,0.1%,,0.0%,59,164,389,234,569,"1,143",142,275,840,"4,003",0,0.0%,,0.2%,167,374,"1,143"
Q52,WEST YORKSHIRE ,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,"18,646","17,423","18,668",99.9%,A&E HES attendances are within 10% of SitReps,"18,646",0,0.0%,0.0%,"18,646",592,3.2%,"18,646",0,0.0%,"18,646","1,599",8.6%,0.1%,"4,272",177,4.1%,,0.1%,9,38,"1,412","18,046",13,0.1%,,0.1%,54,169,"1,437",222,375,851,110,232,854,"18,646",0,0.0%,,0.1%,133,240,854
Q58,HERTFORDSHIRE AND THE SOUTH MIDLANDS ,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,"6,322","11,102","11,895",53.1%,A&E HES attendances are less than 80% or more than 120% of SitRep attendances,"6,322",0,0.0%,*,"6,322",202,3.2%,"6,322",0,0.0%,"6,322",433,6.8%,0.0%,"1,703","1,703",100.0%,,0.0%,-,-,-,"6,117","6,117",100.0%,,0.0%,,,,232,657,"1,324",135,262,"1,165","6,322",0,0.0%,,0.0%,154,391,"1,324"
