name,tel,street,locality,region,postcode
BMI Shirley Oaks Hospital,0208 655 5500,Poppy Lane,Croydon,Surrey,CR9 8AB
West Suffolk Hospital,,"West Suffolk Hospital, Hardwick Lane",Bury St. Edmunds,Suffolk,IP33 2QZ
Victoria Infirmary (Northwich),01606 564000,"Winnington Hill, Winnington Hill",Northwich,Cheshire,CW8 1AW
BMI The Beaumont Hospital,01204 404404,"Chorley New Road, Lostock",Bolton,Lancashire,BL6 4LA
Spire Roding Hospital,020 8709 7878,Roding Lane South,Ilford,Essex,IG4 5PZ
Western Eye Hospital,020 7724 6530,"The Western Eye Hospital, Marylebone Road, London",,,NW1 5QH
Scunthorpe General Hospital,01724 282282,Cliff Gardens,Scunthorpe,,DN15 7BH
bpas (Birmingham South),03457304030,"162 Station Road, Kings Norton",Birmingham,West Midlands,B30 1DB
Spire Manchester Hospital,0161 226 0112,Russell Road,Manchester,Greater Manchester,M16 8AJ
Cygnet Hospital Derby,01332 365434,"City Gate, London Road",Derby,Derbyshire,DE24 8WZ
The Royal Marsden Hospital (London),020 7352 8171,Fulham Road,London,Greater London,SW3 6JJ
Bolsover Hospital,,Welbeck Road,,,S44 6DH
Leominster Community Hospital,01568 614211,"Leominster Community Hospital, Wye Valley NHS Trust, South Street",Leominster,,HR6 8JH
Lordswood Community and Healthy Living Centre,,Sultan Road,,Chatham,ME5 8TJ
Spire Hull and East Riding Hospital,01482 659471 ,"Lowfield Road, Anlaby",Hull,East Yorkshire,HU10 7AZ
Birmingham Nhs Walk-In Centre,0121 255 4500,"Lower Ground Floor, Boots The Chemists Ltd, 66 High Street",Birmingham,West Midlands,B4 7TA
Royal Eye Infirmary,* 0845 155 8155,"Derriford Hospital, Derriford Road",Plymouth,Devon,PL6 8DH
Spire Leicester Hospital,0116 265 3685,Gartree Road,Leicester,Leicestershire,LE2 2FF
Bromyard Community Hospital,01885 485700,"Bromyard Community Hospital, Wye Valley NHS Trust, Hillside Road",Bromyard,,HR7 4QN
Clay Cross Hospital,01246 252900,Market Street,Chesterfield,Derbyshire,S45 9NZ
Royal Hampshire County Hospital,01962863535,Romsey Road,Winchester,Hampshire,SO22 5DG
Dorothy Pattison Hospital,01922 607000,Alumwell Close,Walsall,West Midlands,WS2 9XH
Skegness and District General Hospital,01754 762 401,Dorothy Avenue,Skegness,Lincolnshire,PE25 2BS
BMI Three Shires Hospital,01604 620311,"The Avenue, Cliftonville",Northampton,Northamptonshire,NN1 5DR
Nightingale House/Court/Florence House,01202 584301,"Alumhurst Road, 49 Alumhurst Road",Bournemouth,Dorset,BH4 8EW
Christchurch Hospital,01202 481018,"Avon Dental Practice, Forest Dene, Christchurch Hospital, Fairmile Road",CHRISTCHURCH,Dorset,BH23 2JX
Whitworth Hospital,01629 580211,"330 Bakewell Road, Darley Dale",Matlock,Derbyshire,DE4 2JD
Aspen Lodge,02380421154,222 Weston Lane,Southampton,Hampshire,SO19 9HL
Potters Bar Community Hospital,,"Barnet Road,Potters Bar, Hertfordshire",,,EN6 2RY
Liverpool Heart and Chest Hospital,0151 600 1616,Thomas Drive,Liverpool,,L14 3PE
"Nuffield Health, Brighton Hospital",01273 624 488,"Warren Road, Woodingdean",Brighton,,BN2 6DX
Thurrock Hospital,0300 123 0808,"Thurrock Hospital, Long Lane",Grays,Essex,RM16 2PX
East Surrey Hospital,,Canada Avenue,Redhill,Surrey,RH1 5RH
Southampton General Hospital,023 8077 7222,Tremona Road,Southampton,Hampshire,SO16 6YD
BMI The Manor Hospital,01234 364252,Church End,Biddenham,Bedfordshire,MK40 4AW
Princess Of Wales Hospital,01472 874111,Scartho Road,Grimsby,,DN33 2BA
Tile Hill Health Centre,,Jardine Crescent,,Coventry,CV4 9PN
BMI The Duchy Hospital,01423 567 136,Queens Road,Harrogate,North Yorkshire,HG2 0HF
The Mount,01752665222,"7 Lipson Terrace, Lipson",Plymouth,Devon,PL4 7PR
Sittingbourne Memorial Hospital,,Bell Road,Sittingbourne,Kent,ME10 4XX
Greater Manchester NHS CATS - Bolton,0333 200 4042,111 Piccadilly,Manchester,,M1 2HY
BMI The Park Hospital,0115 9662000,"Sherwood Lodge Drive, Burntstump Country Park",Arnold,Nottinghamshire,NG5 8RX
Kendray Hospital,01226 730000,Doncaster Road,Barnsley,,S70 3RD
Stepping Hill Hospital,0161 483 1010,"Poplar Grove, Hazel Grove",Stockport,Cheshire,SK2 7JE
Weston General Hospital,01934 636363,"Grange Road, Uphill",Weston-Super-Mare,,BS23 4TQ
Arrowe Park Hospital,0151 678 5111,"Arrowe Park Road, Upton",Wirral,Merseyside,CH49 5PE
Js Medical Practice,0208 808 7968,"107 Philip Lane, London, London",,,N15 4JR
Tees Valley Treatment Centre,01642 737 855,"One Life, Linthorpe Road",Middlesbrough,,TS1 3QY
Walton Hospital,,Whitecotes Lane,,,S40 3HW
Countess Of Chester Hospital,01244 365 000,The Countess Of Chester Health Park,Chester,Cheshire,CH2 1UL
Sussex Community Dermatology Service (Crawley Hospital),01273 764253,"Outpatients '1' Department, West Green Drive",Crawley,West Sussex,RH11 7DH
"Diana, Princess Of Wales Hospital",01472 874111,Scartho Road,Grimsby,,DN33 2BA
Malvern Community Hospital,01684 612600,"Malvern Community Hospital, 185 Worcester Road",Malvern,Worcestershire,WR14 1EX
Emersons Green NHS Treatment Centre,0117 906 1801,"The Brooms, Emersons Green",Bristol,Avon,BS16 7FH
Nottingham University Hospitals NHS Trust - City Campus,0115 969 1169,"Nottingham City Hospital, Hucknall Road",Nottingham,Nottinghamshire,NG5 1PB
Finchley Memorial Hospital,,Granville Road,,,N12 0JE
Rothbury Community Hospital,01669 620 555,"Whitton Bank Road, Rothbury",Morpeth,Northumberland,NE65 7RW
Violet Melchett Health Clinic,,30 Flood Walk,,,SW3 5RR
Worthing Hospital,01903 205111,"Worthing Hospital, Lyndhurst Road",Worthing,West Sussex,BN11 2DH
Homerton University Hospital,020 8510 5555,Homerton Row,London,Greater London,E9 6SR
King's College Hospital (Denmark Hill),020 3299 9000,Denmark Hill,London,,SE5 9RS
Camborne Redruth Community Hospital,01209 318000,"Barncoose Terrace, Barncoose",Redruth,Cornwall,TR15 3ER
The Queen Elizabeth Hospital,01553 613 613,Gayton Road,King's Lynn,Norfolk,PE30 4ET
Cromer and District Hospital,01263 513571,"Mill Road, Mill Road",Cromer,Norfolk,NR27 0BQ
Bridlington & District Hospital,01262 606666,Bessingby Road,Bridlington,,YO16 4QP
Winfield Hospital,01452 306009,"Tewkesbury Road, Longford",Gloucester,Gloucestershire,GL2 9WH
Royal Albert Edward Infirmary,01942 244000,Wigan Lane,Wigan,Lancashire,WN1 2NN
Ashtead Hospital,01372 221400,The Warren,Ashtead,Surrey,KT21 2SB
Tyneside Surgical Services At The North East NHS Surgery Centre,,Queen Elizabeth Hospital,Gateshead,Tyne and Wear,NE9 6SX
"Nuffield Health, The Manor Hospital, Oxford",0800 015 5020,"Beech Road, Headington",Oxford,Oxfordshire,OX3 7RP
Helston Community Hospital,01326 430200,Meneage Road,Helston,Cornwall,TR13 8DR
Henley (Townlands) Community Hospital,,York Road,Henley-On-Thames,Oxfordshire,RG9 2EB
BMI Southend Private Hospital,01702 608908,15-17 Fairfax Drive,Westcliff on Sea,Essex,SS0 9AG
Finchley Walk-In Centre,,"Finchley Memorial Hospital, Granville Road",London,Greater London,N12 0JE
Whiston Hospital,0151 426 1600,"Whiston Hospital, Warrington Road",Prescot,Merseyside,L35 5DR
Bassetlaw Hospital,01909 500990,"Kilton Hill, Blyth Road",Worksop,Nottinghamshire,S81 0BD
Bideford Hospital,01271 322 577,Abbotsham Road,Bideford,Devon,EX39 3AG
Oaklands Hospital,0161 7877700,19 Lancaster Road,Salford,Greater Manchester,M6 8AQ
Farnham Road Hospital,03005 555222,Farnham Road,Guildford,Surrey,GU2 7LX
St Ann's Hospital,01202 708881,"69 Haven Road, Canford Cliffs",Poole,Dorset,BH13 7LN
St Mary's Health Campus,02392 680000,"West Wing, Milton Road",Portsmouth,Hampshire,PO3 6AD
St Mary's Hospital (HQ),020 3312 6666,Praed Street,London,Greater London,W2 1NY
Colchester Nhs Walk-In Centre,01206 314015,"North Colchester Healthcare Centre, Colchester Primary Care Centre, Turner Road",Colchester,Essex,CO4 5JR
Cramlington Med Group - EYELID Clinic,,"The Health Centre, Forum way, Cramligton",,,NE23 6QN
Newbridges,01482 335075,"Birkdale Way, Newbridge Road",Hull,,HU9 2BH
Gorton Medical Centre,0161 223 1113,"46 Wellington Street, Gorton, Manchester",,,M18 8LJ
Woodland Hospital,01536 414515,"Woodland Hospital, Rothwell Road",Kettering,Northamptonshire,NN16 8XF
Darlington Memorial Hospital,01325 380100,Hollyhurst Road,Darlington,County Durham,DL3 6HX
Wilson Hospital ,,"Cranmer Road, Mitcham",,,CR4 4TP
"Nuffield Health, Leeds Hospital",01133 506 553,2 Leighton Street,Leeds,West Yorkshire,LS1 3EB
Euxton Hall Hospital,01257 276261,"Wigan Road, Euxton",Chorley,Lancashire,PR7 6DY
"Sandwell Park Hospital, Hartlepool",01429 285601,Lancaster Road,Hartlepool,,TS24 8LN
Reading Walk - In Health Centre,0118 902 8300,"1St Floor, 103 Broad Street Mall",Reading,Berkshire,RG1 7QA
Airedale General Hospital,01535 652511,"Skipton Road, Steeton",Keighley,West Yorkshire,BD20 6TD
Spire Hartswood Hospital,,"Eagle Way, Great Warley",Brentwood,Essex,CM13 3LE
"Roseberry Park, Middlesbrough",01642 837300,Marton Road,Middlesbrough,,TS4 3AF
Merritt Medical Centre,,Merritt Gardens,Chessington,Surrey,KT9 2GY
Lydney & District Hospital site,0300 421 8722,Grove Road,Lydney,Gloucestershire,GL15 5JE
Victoria Health Centre,,5 Suffrage Street,Smethwick,West Midlands,B66 3PZ
East Riding Community Hospital,01482 886600,Swinemoor Lane,Beverley,East Yorkshire,HU17 0FA
Princess Royal University Hospital,,Farnborough Common,Orpington,Kent,BR6 8ND
Zinnia Centre,0121 301 5300,100 Showell Green Lane,Birmingham,West Midlands,B11 4HL
West Cornwall Hospital (Penzance),01736 874000,St Clare Street,Penzance,Cornwall,TR18 2PF
"Auckland Park Hospital, Bishop Auckland",01388 645300,Westfield Road,Bishop Auckland,Durham,DL14 6AE
Priory Hospital Southampton,023 8084 0044,"Hythe Road, Marchwood",Southampton,Hampshire,SO40 4WU
BMI The Meriden Hospital,024 7664 7000,"University Hospital Site, Clifford Bridge Road",Coventry,West Midlands,CV2 2LQ
Newquay Hospital,,St. Thomas Road,Newquay,Cornwall,TR7 1RQ
Spire Bushey Hospital,020 8901 5572,"Heathbourne Road, Bushey Heath",Bushey,Hertfordshire,WD23 1RD
Solihull Hospital,0121 424 2000,Lode Lane,Solihull,West Midlands,B91 2JL
King Edward Vii,01753 860441,St Leonards Road,Windsor,Berkshire,SL4 3DP
Lister Hospital,,Chelsea Bridge Road,London,Greater London,SW1W 8RH
Walton Community Hospital,,Rodney Road,Walton-On-Thames,Surrey,KT12 3LB
Pilgrim Hospital,01205 364801,Sibsey Road,Boston,Lincolnshire,PE21 9QS
Devonshire Centre for Neuro-Rehabilitation,0161 483 1010,Cherry Tree Lane,Stockport,Cheshire,SK2 7PZ
Green Elms Medical Centre,,32 Crossways,"Jaywick, Clacton on Sea",,CO15 2NB
"The County Hospital, Wye Valley NHS Trust",01432 355 444,Stonebow Road,Hereford,Herefordshire,HR1 2BN
Chase Farm Hospital,* 0845 111 4000,"Chase Farm Hospital, The Ridgeway",Enfield,Middlesex,EN2 8JL
Good Hope Hospital,0121 424 2000,Rectory Road,Sutton Coldfield,West Midlands,B75 7RR
BMI The Chiltern Hospital,01494 890890,London Road,Great Missenden,Buckinghamshire,HP16 0EN
Priory Hospital Cheadle Royal,0161 428 9511,100 Wilmslow Road,Cheadle,Cheshire,SK8 3DG
BMI The Winterbourne Hospital,01305 263252,Herringston Road,Dorchester,Dorset,DT1 2DR
Moss Side Health Centre,,Monton Street,,Manchester,M14 4GP
Royal Oldham Hospital,0161 624 0420,Rochdale Road,Oldham,Lancashire,OL1 2JH
The Essex Cardiothoracic Centre,* 0845 155 3111,"Basildon University Hospital, Nethermayne",Basildon,Essex,SS16 5NL
Pinderfields Hospital,* 0844 8118110,"Pinderfields Hospital, Aberford Road",Wakefield,West Yorkshire,WF1 4DG
Haltwhistle War Memorial Hospital,0344 811 8111,Westgate,Haltwhistle,Northumberland,NE49 9AJ
Romsey Hospital,01794 834700,Winchester Hill,Romsey,Hampshire,SO51 7ZA
Fairfield Hospital,,"Crank Road, Crank",St. Helens,Merseyside,WA11 7RS
Hinchingbrooke Hospital,01480 416 416,Hinchingbrooke Park,Huntingdon,Cambridgeshire,PE29 6NT
Great North Childrens Hospital,0191 233 6161,"Queen Victoria Road, New Victoria Wing, Royal Victoria Infirmary",Newcastle Upon Tyne,,NE1 4LP
Derriford Hospital,* 0845 155 8155,"Derriford Road, Crownhill",Plymouth,Devon,PL6 8DH
West Middlesex University Hospital,020 8550 9108,Twickenham Road,Isleworth,Middlesex,TW7 6AF
Weymouth Community Hospital,01305 760022,Melcombe Avenue,Weymouth,Dorset,DT4 7TB
Lings Bar Hospital,0115 945 5577,"Beckside, Gamston",Nottingham,Nottinghamshire,NG2 6PR
Hillview Lodge,01225 362700,"Royal United Hospital, Combe Park",Bath,,BA1 3NG
bpas (Leamington) ,03457304030,"Blackdown clinic, Old Milverton Road",Leamington Spa,Warwickshire,CV32 6RW
Peninsula NHS Treatment Centre,,"20 Brest Road, Derriford",Plymouth,Devon,PL6 5XP
Centenary House,,70 Charlton Road,Shepton Mallet,Somerset,BA4 5PD
Scarborough Hospital,01723 368111,Woodlands Drive,Scarborough,,YO12 6QL
BMI Chelsfield Park Hospital,01689 877855,Bucks Cross Road,Orpington,Kent,BR6 7RG
Priory Hospital Hayes Grove,020 8462 7722,"Prestons Road, Hayes",Bromley,Kent,BR2 7AS
Yorkshire Eye Hospital,,937 Harrogate Road,Bradford,West Yorkshire,BD10 0RD
Newham Centre for Mental Health,020 7540 4380,"Cherry Tree Way, Glen Road",London,,E13 8SP
Cheshire and Merseyside Treatment Centre,01928 793746,"Cheshire and Merseyside Treatment Centre, Halton General Hospital, Earls Way",Runcorn,Cheshire,WA7 2HH
BMI The Shelburne Hospital,01494 888700,Queen Alexandra Road,High Wycombe,Buckinghamshire,HP11 2TR
Samuel Johnson Community Hospital,01543 412900,"Samuel Johnson Community Hospital, Trent Valley Road",Lichfield,Staffordshire,WS13 6EF
Hemel Hempstead Hospital,01442 213141,Hillfield Road,Hemel Hempstead,Hertfordshire,HP2 4AD
Wythenshawe Hospital,0161 9987070,"Southmoor Road, Wythenshawe",Manchester,,M23 9LT
Medway Maritime Hospital,01634 830 000,Windmill Road,Gillingham,Kent,ME7 5NY
The James Cook University Hospital,01642 850850,Marton Road,Middlesbrough,Cleveland,TS4 3BW
Herts and Essex Community Hospital,01279 444455,Haymeads Lane,Bishop's Stortford,Hertfordshire,CM23 5JH
Urmston Clinic,,"74 Princess Road, Trafford",Manchester,Greater Manchester,M41 5SQ
Sunderland Eye Infirmary,0191 565 6256,Queen Alexandra Road,Sunderland,,SR2 9HP
Springfield University Hospital,0203 513 5000,61 Glenburnie Road,London,,SW17 7DJ
"Nuffield Health, Leicester Hospital",0116 276 9401,Scraptoft Lane,Leicester,Leicestershire,LE5 1HY
Park Hill Hospital,01302 730300 ,Thorne Road,Doncaster,South Yorkshire,DN2 5TH
The Red House,01280850375,"The Red House Nursing Home, Highcross, Syresham",Brackley,Northamptonshire,NN13 5TJ
Spire Regency Hospital,,West Street,Macclesfield,Cheshire,SK11 8DW
Royal Derby Hospital,01332 340131,Royal Derby Hospital,Derby,Derbyshire,DE22 3LZ
The Springs Community,01797363550,"Coast Drive, St Mary's Bay",Romney Marsh,Kent,TN29 0HN
Edgware Community Hospital,,"Edgware Community Hospital, Burnt Oak Broadway",Edgware,Middlesex,HA8 0AD
The Robert Jones and Agnes Hunt Orthopaedic Hospital,01691 404000,,Oswestry,Shropshire,SY10 7AG
Bristol Eye Hospital,0117 923 0060,Lower Maudlin Street,Bristol,Avon,BS1 2LX
Kings Park Hospital,,Gloucester Road,,,BH7 6JF
University Of Bristol Dental Hospital,0117 342 4383,Lower Maudlin Street,Bristol,Avon,BS1 2LY
Prospect Park Hospital,0118 960 5000,"Honey End Lane, Tilehurst",Reading,Berkshire,RG30 4EJ
Spire Little Aston Hospital,0121 353 2444,"Little Aston Hall Drive, Little Aston",Sutton Coldfield,,B74 3UP
BMI The Foscote Hospital,01295 252281,2 Foscote Rise,Banbury,Oxfordshire,OX16 9XP
Southend Hospital,01702 435555,Prittlewell Chase,Westcliff-on-Sea,Essex,SS0 0RY
St Marks Hospital,01628 632012,"St Mark's Road, Maidenhead",Berkshire,Berkshire,SL6 6DU
Clarendon House,02087951141,27 Clarendon Gardens,Wembley,Middlesex,HA9 7QW
Horsham Hospital,01403227000,Hurst Road,Horsham,,RH12 2DR
Northampton General Hospital (Acute),01604 634700,Cliftonville,Northampton,Northamptonshire,NN1 5BD
Bexhill Hospital,01424 755255,Holliers Hill,Bexhill-on-Sea,Sussex,TN40 2DZ
Brentwood Community Hospital,,11 Crescent Drive,Brentwood,Essex,CM15 8DR
John Coupland Hospital,01427 816 500,Ropery Road,Gainsborough,Lincolnshire,DN21 2TJ
"Nuffield Health, Newcastle-upon-Tyne Hospital",0800 015 5020,Clayton Road,Newcastle Upon Tyne,,NE2 1JP
St Mary,01803 312233,"Fore Street, St. Marychurch, Torquay",Devon,,TQ1 4QX
Royal Leamington Spa Rehabilitation Hospital,01926 317700,"Heathcote Lane, Heathcote",Warwick,Warwickshire,CV34 6SR
The Redwoods Centre,01743 210000,Bicton Heath,Shrewsbury,Shropshire,SY3 8DS
Birmingham Treatment Centre,0121 507 6180,Dudley Road,Birmingham,West Midlands,B18 7QH
Barnet Hospital,* 0845 111 4000,Wellhouse Lane,Barnet,Hertfordshire,EN5 3DJ
BMI The London Independent Hospital,020 7780 2400,1 Beaumont Square,London,,E1 4NL
Sussex Eye Hospital,01273 606126,Eastern Road,Brighton,East Sussex,BN2 5BF
North Cambridgeshire Hospital,01945 488088,The Park,Wisbech,Cambridgeshire,PE13 3AB
University College Hospital Macmillan Cancer Centre,020 3456 7016,"University College Hospital (UCH) Macmillan Cancer Centre, Huntley Street",London,,WC1E 6AG
Andover War Memorial Hospital,01264 358 811,Charlton Road,Andover,Hampshire,SP10 3LB
Berwick Infirmary,,Berwick Infirmary,Berwick-Upon-Tweed,Northumberland,TD15 1LT
Spire Southampton Hospital,023 8077 5544,"Chalybeate Hospital, Chalybeate Close",Southampton,Hampshire,SO16 6UY
Lincoln County Hospital,01522 512512,Greetwell Road,Lincoln,Lincolnshire,LN2 5QY
The Great Western Hospital,01793 604020,Marlborough Road,Swindon,Wiltshire,SN3 6BB
St Michael,01249750737,81 Kington St Michael,Chippenham,Wiltshire,SN14 6JB
The Gordon Hospital,020 8746 8733,Bloomburg Street,London,,SW1V 2RH
Conquest Hospital,01424 755255,The Ridge,St. Leonards-on-Sea,East Sussex,TN37 7RD
Yeovil District Hospital,01935 475122,"Yeovil District Hospital, Higher Kingston",Yeovil,Somerset,BA21 4AT
"Victoria Hospital, Deal",01304 865400,"Victoria Hospital, London Road",Deal,Kent,CT14 9UA
Charing Cross Hospital,020 3311 1234,Fulham Palace Road,London,,W6 8RF
Sheppey Community Hospital,,"Plover Road, Minster On Sea",Sheerness,Kent,ME12 3LT
"Nuffield Health, Derby Hospital",0800 015 5020,"Rykneld Road, Littleover",Derby,Derbyshire,DE23 4SN
Bristol Royal Hospital For Children, 0117 342 8460,Upper Maudlin Street,Bristol,Avon,BS2 8BJ
Oswestry Health Centre,01691 663600,"Thomas Savin Road, Off Gobowen Road",Oswestry,Shropshire,SY11 1GA
Blackpool Victoria Hospital,01253 300000,Whinney Heys Road,Blackpool,Lancashire,FY3 8NR
Royal Free Hospital,,"Urgent Care Centre, Royal Free Hospital, Pond Street",London,Greater London,NW3 2QG
St Michael's Hospital,01245 362000,Rayne Road,Braintree,Essex,CM7 2QU
Queen Alexandra Hospital,01903213458,Boundary Road,Worthing,West Sussex,BN11 4LJ
Plym Bridge,,4 William Prance Road,,,PL6 5ZD
Faversham Cottage Hospital,01795 562066,Stone Street,Faversham,Kent,ME13 8PS
Kidderminster Hospital & Treatment Centre,01562 823 424,Bewdley Road,Kidderminster,Worcestershire,DY11 6RJ
Caludon Centre,024 7696 8100,"Clifford Bridge Road,, Walsgrave,",Coventry,West Midlands,CV2 2TE
Moorfields Community Eye Clinic at Loxford ,020 8822 4291,"Loxford Polyclinic, 417 Ilford Lane",Ilford,,IG1 2SN
Broomfield Hospital,01245 362000,Court Road,Chelmsford,Essex,CM1 7ET
Royal Devon and Exeter Hospital (Wonford),,Barrack Road,Exeter,Devon,EX2 5DW
The Bradgate Mental Health Unit,01162252650,"Glenfield Hospital, Groby Road",Leicester,Leicestershire,LE3 9EJ
Green Lane Hospital,01380 731200,Marshall Road,Devizes,Wiltshire,SN10 5DS
Hull Royal Infirmary,01482 875875,Anlaby Road,Hull,,HU3 2JZ
Waters Meeting Health Centre,01204 463000,Waters Meeting Road,Bolton,,BL1 8TT
Blyth Community Hospital,0344 811 8111,Thoroton Street,Blyth,Northumberland,NE24 1DX
BMI The Saxon Clinic,01908 665533,"Chadwick Drive, Eaglestone West",Milton Keynes,Buckinghamshire,MK6 5LR
Leek Moorlands Hospital,0300 123 1894,Ashbourne Road,Leek,Staffordshire,ST13 5BQ
Queen Victoria Hospital,01342 414000,Holtye Road,East Grinstead,West Sussex,RH19 3DZ
BMI The Highfield Hospital,01706 655121,Manchester Road,Rochdale,Lancashire,OL11 4LZ
The Royal London Hospital,020 3456 7890,60 Great Ormond Street,London,,WC1N 3HR
Colchester General Hospital,01206 747474,Turner Road,Colchester,Essex,CO4 5JL
Basingstoke and North Hampshire Hospital,01256 473 202,"Aldermaston Road, Aldermaston Road",Basingstoke,Hampshire,RG24 9NA
Shepton Mallet Community Hospital,,Old Wells Road,Shepton Mallet,Somerset,BA4 4PG
The Horder Centre ,01892 665577,"St. Johns Road, Orthopaedic Centre of Excellence",Crowborough,East Sussex,TN6 1XP
Withernsea Hospital,01964 614666,Queen Street,Withernsea,North Humberside,HU19 2QB
Spire Tunbridge Wells Hospital,01892 740 047,"Fordcombe Road, Fordcombe",Tunbridge Wells,Kent,TN3 0RD
Royal Blackburn Hospital,01254 263555,"Haslingden Road, Haslingden Road",Blackburn,Lancashire,BB2 3HH
Marie Stopes International Essex Centre,* 0845 300 3740,88 Russell Road,Buckhurst Hill,Essex,IG9 5QB
Buckland Hospital,01304 222510,"Buckland Hospital, Coombe Valley Road",Dover,Kent,CT17 0HD
Wareham Community Hospital,01929 552433,Streche Road,Wareham,Dorset,BH20 4QQ
Yate West Gate Centre,,"21 West Walk, Yate",Bristol,Avon,BS37 4AX
Hospital For Tropical Diseases,020 3456 7891,"Mortimer Market Centre, Mortimer Market, Off Capper Street",London,,WC1E 6JD
Tower House Medical Centre,,"Stock Way South, Nailsea",Bristol,Avon,BS48 2XX
Salford Royal,0161 789 7373,"Salford Royal NHS Foundation Trust, Stott Lane",Salford,,M6 8HD
Witney Community Hospital,01993 209400,Welch Way,Witney,Oxfordshire,OX28 6JJ
Corbett Hospital,01384 456111,Vicarage Road,Stourbridge,West Midlands,DY8 4JB
St Hugh,0114 263 0330,"Claremont Private Hospital, 401 Sandygate Road",Sheffield,South Yorkshire,S10 5UB
St Albans City Hospital,01727 866122,Waverley Road,St. Albans,Hertfordshire,AL3 5PN
Litherland Town Hall Health Centre,0151 475 4840,"Hatton Hill Road, Litherland, Liverpool",,,L21 9JN
Georges Turle House,,54 London Road,,Canterbury,CT2 8JY
Spire Cheshire Hospital,* 0845 602 2500,"Fir Tree Close, Stretton",Warrington,Cheshire,WA4 4LU
James Paget University Hospital,01493 452452,"Lowestoft Road, Gorleston",Great Yarmouth,Norfolk,NR31 6LA
St Thomas',020 7188 7188,"Trust Offices, Guy's Hospital, Great Maze Pond",London,Greater London,SE1 9RT
Birmingham Midland Eye Centre (Bmec),01215543801,"City Hospital N H S Trust, Dudley Road",Birmingham,West Midlands,B18 7QH
Bradford Royal Infirmary,,Smith Lane,Bradford,West Yorkshire,BD9 6RJ
Spire Methley Park Hospital,01977 518518,"Methley Lane, Methley",Leeds,West Yorkshire,LS26 9HG
Gun Lane Surgery,,"Gun Lane, Strood",,Rochester,ME2 4UW
Sheldon Unit,0121 466 6950,"Sheldon Unit, Sheldon Drive, off Tessall Lane",Birmingham,,B31 5EJ
County Hospital Louth,01507 600100,High Holme Road,Louth,Lincolnshire,LN11 0EU
Bensham Hospital,0191 482 0000,Saltwell Road,Gateshead,Tyne and Wear,NE8 4YL
Ashworth Hospital,0151-473-0303,"Parkbourn, Maghull",Liverpool,Merseyside,L31 1HW
Hellesdon Hospital,01603 421421,Drayton High Road,Norwich,Norfolk,NR6 5BE
Central Hull Cmht,,7 Baker Street,,Hull,HU2 8HP
Barberry ,0121 301 2002,25 Vincent Drive,Birmingham,,B15 2FG
Royal Orthopaedic Hospital,0121 685 4000,"The Woodlands, Bristol Road South, Northfield",Birmingham,West Midlands,B31 2AP
Altrincham General Hospital,,Market Street,,,WA14 1PE
Little Brook Hospital,01322 622222,"Bow Arrow Lane, Stone",Dartford,Kent,DA2 6PB
Benenden Hospital,,"Goddards Green Road, Benenden",Cranbrook,Kent,TN17 4AX
Crawley Hospital,,West Green Drive,Crawley,West Sussex,RH11 7DH
Clatterbridge Hospital,0151 334 4000,"Clatterbridge Road, Bebington",Wirral,Merseyside,CH63 4JY
"Nuffield Health, The Grosvenor Hospital, Chester",01244 684305,"Nuffield Health, The Grosvenor Hospital, Wrexham Road",Chester,Cheshire,CH4 7QP
Furness General Hospital,01229 870870,Dalton Lane,Barrow-In-Furness,Cumbria,LA14 4LF
Ashley House Hospital ,01630 673800,Ashley,Market Drayton,Staffordshire,TF9 4LX
Greater Manchester NHS CATS - Salford,0333 200 4042,111 Piccadilly,Manchester,,M1 2HY
Newholme Hospital,,Baslow Road,,,DE45 1AD
Ellen Badger Hospital,01608 661410,Stratford Road,Shipston-on-Stour,Warwickshire,CV36 4AX
Cavendish Hospital,,Manchester Road,,,SK17 6TE
"Nuffield Health, Exeter Hospital",0800 015 5020,Wonford Road,Exeter,Devon,EX2 4UG
Darent Valley Hospital,01322 428100,Darenth Wood Road,Dartford,Kent,DA2 8DA
Alderney Hospital,01202 735537,"Ringwood Road, Parkstone",Poole,Dorset,BH12 4NB
Renacres Hospital,01704 841133,"Renacres Lane, Halsall",Ormskirk,Lancashire,L39 8SE
Fareham Community Hospital,01489 587400,"Brook Lane, Sarisbury Green, Sarisbury",Fareham,Hampshire,SO31 7DQ
Chelsea and Westminster Hospital,020 3315 8000,369 Fulham Road,London,,SW10 9NH
Alder Hey Children's NHS Foundation Trust,0151 228 4811,"Alder Hey Hospital, Eaton Road, West Derby",Liverpool,Merseyside,L12 2AP
Elmleigh,01943607003,42 Kings Road,Ilkley,West Yorkshire,LS29 9AT
Maidstone Hospital,01622 729000,Hermitage Lane,Maidstone,Kent,ME16 9QQ
Bethlem Royal Hospital,020 3228 6000,"Monks Orchard Road, Monks Orchard Road","Beckenham, Greater London",,BR3 3BX
Manchester Royal Eye Hospital,0161 276 1234,"Trust Headquarters, Cobbett House, Manchester Royal Infirmary, Oxford Road",Manchester,,M13 9WL
Whipps Cross University Hospital,020 3416 5000,Whipps Cross Road,London,,E11 1NR
Maister Lodge,01482 303775,Hauxwell Road,Hull,,HU8 0RB
New Cross Hospital,01902 307999,"Wednesfield  Road, Heath Town",Wolverhampton,West Midlands,WV10 0QP
